File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
HEU-MET-FAST-007-037,1.00165,0.00012,1.00165,0.000115441,0.9988,0.0008,1.00285,0.000811,Rectangular,22.73,34.56,42.71,77.27,705340.0,1784.9
LEU-COMP-THERM-010-012,0.99974,0.00010,0.999744,0.000103946,1,0.0021,0.99974,0.002102,Lattice,90.32,5.90,3.78,9.68,108530.0,0.11498
LEU-COMP-THERM-011-003,0.99806,0.00010,0.998056,9.62454e-05,1.0009,0.0032,0.99716,0.003189,Lattice,86.12,7.87,6.01,13.88,177660.0,0.19713
LEU-COMP-THERM-007-009,0.99804,0.00011,0.998035,0.000111347,1,0.0008,0.99804,0.000806,Lattice,89.92,6.50,3.58,10.08,102080.0,0.11246
LEU-COMP-THERM-006-018,0.99932,0.00010,0.999322,9.82888e-05,1,0.002,0.99932,0.002001,Lattice,89.70,5.45,4.85,10.3,143220.0,0.12839
HEU-SOL-THERM-025-014,1.00484,0.00011,1.00484,0.000111592,1.0008,0.0053,1.00403,0.005318,Cylinder,86.33,12.54,1.12,13.67,19836.0,0.11501
PU-MET-FAST-035,0.99778,0.00009,0.997779,8.77964e-05,1,0.0016,0.99778,0.001598,Sphere,0.00,2.44,97.56,100.0,1830700.0,1182600.0
LEU-COMP-THERM-028-010,0.99749,0.00010,0.997491,9.7206e-05,1.0004,0.0045,0.99709,0.004486,Lattice,89.82,6.27,3.90,10.18,111940.0,0.12291999999999999
HEU-MET-FAST-063-002,1.00073,0.00009,1.00073,8.82539e-05,0.9988,0.0047,1.00193,0.004715,Cylinder,0.00,9.73,90.27,100.0,1346600.0,655410.0
U233-SOL-THERM-013-020,0.99996,0.00014,0.999961,0.000136564,0.9996,0.0056,1.00036,0.005605,Sphere,88.92,10.54,0.54,11.08,9334.2,0.061454
HEU-SOL-THERM-006-017,1.00066,0.00011,1.00066,0.000112858,1,0.0088,1.00066,0.008806,Cylinder,72.60,25.02,2.38,27.4,41897.0,0.43420000000000003
PU-SOL-THERM-009-03a,1.01928,0.00005,1.01928,5.47088e-05,1.0003,0.0033,1.01897,0.003362,Sphere,98.65,1.21,0.13,1.35,2558.8999999999996,0.040487999999999996
HEU-MET-FAST-025-004,1.00525,0.00009,1.00525,9.01944e-05,0.9995,0.0016,1.00575,0.001612,Cylinder,0.00,5.84,94.16,100.0,1397700.0,771620.0
PU-SOL-THERM-003-002,1.00239,0.00012,1.00239,0.000117236,1,0.0047,1.00239,0.004712,Sphere,96.80,2.85,0.35,3.2,6684.200000000001,0.058477
U233-SOL-INTER-001-019,0.97577,0.00016,0.975775,0.000155717,1,0.0083,0.97577,0.008100,Sphere,32.78,60.56,6.67,67.22,110150.0,6.1318
LEU-COMP-THERM-080-011,0.99720,0.00012,0.9972,0.000115941,0.9984,0.001,0.99879,0.001007,Lattice,79.76,14.55,5.69,20.24,152530.0,0.34236
PU-SOL-THERM-010-005,1.01040,0.00012,1.0104,0.000121493,1,0.0048,1.0104,0.004851,Sphere,95.87,3.66,0.47,4.13,8881.699999999999,0.068643
PU-SOL-THERM-032-017,1.00401,0.00011,1.00401,0.000107201,1,0.002,1.00401,0.002010,Cylinder,96.79,2.85,0.36,3.21,6898.2,0.058056
HEU-MET-FAST-007-016,0.99770,0.00012,0.997698,0.000119114,0.9969,0.0012,1.00080,0.001210,Rectangular,16.42,41.84,41.74,83.58,707780.0,2437.5
HEU-MET-FAST-017,1.00067,0.00010,1.00067,9.94404e-05,0.9993,0.0014,1.00137,0.001406,Cylinder,0.00,16.15,83.85,100.0,1174200.0,479040.0
HEU-SOL-THERM-006-007,1.00050,0.00011,1.0005,0.000113974,1,0.0088,1.0005,0.008805,Cylinder,72.59,25.01,2.40,27.41,42318.0,0.43526
LEU-SOL-THERM-004-002,1.00157,0.00009,1.00157,9.0074e-05,0.9999,0.0009,1.00167,0.000906,Cylinder,96.32,3.01,0.67,3.68,17921.0,0.040431
PU-MET-FAST-025,0.99879,0.00009,0.99879,8.5705e-05,1,0.002,0.99879,0.001999,Sphere,0.00,2.37,97.63,100.0,1836900.0,1189200.0
LEU-COMP-THERM-009-021,0.99974,0.00010,0.999738,0.000104566,1,0.0021,0.99974,0.002102,Lattice,90.32,5.85,3.83,9.68,110300.0,0.11550999999999999
PU-SOL-THERM-038-002,1.00360,0.00009,1.0036,8.95409e-05,1.0005,0.0015,1.00309,0.001506,Cylinder,97.92,1.84,0.24,2.08,4776.3,0.046806
HEU-SOL-THERM-025-004,1.00093,0.00012,1.00093,0.000116223,1.0003,0.0027,1.00062,0.002703,Cylinder,95.96,3.72,0.32,4.04,5681.7,0.041014
LEU-COMP-THERM-001-006,0.99893,0.00009,0.998929,9.04985e-05,0.9998,0.0031,0.99912,0.003099,Lattice,91.54,4.45,4.01,8.46,119840.0,0.097384
HEU-MET-FAST-007-006,1.00587,0.00010,1.00587,0.000102348,1.0006,0.0013,1.00526,0.001310,Rectangular,1.64,27.50,70.86,98.36,1139700.0,141750.0
LEU-COMP-THERM-010-023,1.00214,0.00011,1.00214,0.000109436,1,0.0028,1.00214,0.002808,Lattice,83.11,10.74,6.15,16.89,173290.0,0.27248
PU-SOL-THERM-032-007,1.00529,0.00011,1.00529,0.000108906,1,0.002,1.00529,0.002013,Cylinder,96.66,2.97,0.37,3.34,7147.7,0.059549
HEU-MET-FAST-058-002,1.00496,0.00010,1.00496,0.000102761,1,0.0035,1.00496,0.003518,Sphere,1.60,21.27,77.13,98.4,1105000.0,221740.0
HEU-MET-FAST-084-023,0.99946,0.00009,0.999462,9.34847e-05,0.9993,0.0024,1.00016,0.002403,Cylinder,0.85,11.71,87.44,99.15,1347600.0,454850.0
U233-SOL-THERM-009-001,0.99610,0.00006,0.996103,6.21498e-05,0.9966,0.0044,0.99949,0.004413,Cylinder,95.27,4.54,0.19,4.73,3324.4,0.037649
HEU-MET-FAST-037-002,0.99805,0.00010,0.998049,0.000104513,0.9997,0.0011,0.99834,0.001103,Cylinder,10.93,31.99,57.07,89.07,960660.0,14386.0
LEU-COMP-THERM-080-001,0.99591,0.00012,0.995915,0.000117388,0.9976,0.001,0.99830,0.001007,Lattice,76.76,16.76,6.47,23.24,172330.0,0.47701
U233-SOL-INTER-001-009,0.97978,0.00016,0.97978,0.000159071,1,0.0068,0.97978,0.006664,Sphere,31.91,60.64,7.45,68.09,124410.0,7.4171
PU-SOL-THERM-002-003,1.00395,0.00013,1.00395,0.000125171,1,0.0047,1.00395,0.004720,Sphere,95.18,4.26,0.56,4.82,10529.0,0.076334
LEU-COMP-THERM-022-005,1.00353,0.00010,1.00353,0.000102549,1,0.0038,1.00353,0.003814,Lattice,93.29,5.01,1.70,6.71,45486.0,0.069383
HEU-SOL-THERM-001-009,0.99424,0.00015,0.994242,0.000152482,1.0008,0.0054,0.99344,0.005362,Cylinder,77.49,20.22,2.28,22.51,40150.0,0.29033
U233-SOL-THERM-013-011,1.00527,0.00016,1.00527,0.000157845,0.9992,0.0054,1.00607,0.005439,Sphere,77.36,21.34,1.30,22.64,22408.0,0.15036999999999998
LEU-COMP-THERM-039-004,0.99654,0.00011,0.996543,0.000111497,1,0.0014,0.99654,0.001399,Lattice,85.71,9.40,4.89,14.29,137340.0,0.18766
HEU-SOL-THERM-004-004,0.99092,0.00013,0.99092,0.000134538,1,0.0091,0.99092,0.009018,Sphere,61.39,36.81,1.80,38.61,24814.0,1.0728
HEU-SOL-THERM-006-026,1.00135,0.00011,1.00135,0.00011173,1,0.0088,1.00135,0.008812,Cylinder,72.75,24.88,2.37,27.25,41822.0,0.42856
HEU-SOL-THERM-049-016,0.99867,0.00013,0.998674,0.000132818,1.0012,0.002,0.99747,0.001996,Cylinder,66.95,29.76,3.29,33.05,58250.0,0.73359
HEU-SOL-THERM-027-007,0.99782,0.00014,0.997819,0.000143234,1,0.0038,0.99782,0.003794,Cylinder,90.76,8.43,0.81,9.24,14480.0,0.073807
MIX-MET-FAST-007-008,1.00519,0.00010,1.00519,0.000104555,1,0.003,1.00519,0.003017,Sphere,4.74,16.92,78.34,95.26,1364400.0,173380.0
HEU-MET-FAST-051-015,0.99802,0.00009,0.998016,8.68903e-05,0.9998,0.0001,0.99821,0.000132,Cylinder,0.00,5.22,94.78,100.0,1464600.0,825030.0
PU-MET-FAST-045-007,1.00490,0.00009,1.0049,9.29246e-05,1,0.0038,1.0049,0.003819,Cylinder,0.88,5.56,93.56,99.12,1610700.0,730700.0
HEU-MET-FAST-043-003,0.99872,0.00009,0.998722,8.75777e-05,0.9995,0.0021,0.99921,0.002101,Cylinder,0.00,5.43,94.57,100.0,1431800.0,804920.0
LEU-COMP-THERM-008-011,1.00128,0.00009,1.00128,9.44602e-05,1.0007,0.0012,1.00057,0.001203,Lattice,83.91,9.38,6.71,16.09,198070.0,0.25778
LEU-COMP-THERM-006-008,1.00009,0.00010,1.00009,0.000100536,1,0.002,1.00009,0.002002,Lattice,85.95,7.76,6.29,14.05,183660.0,0.20692
HEU-MET-FAST-016-002,1.00253,0.00009,1.00253,9.3061e-05,0.9996,0.0018,1.00293,0.001808,Cylinder,0.10,11.39,88.50,99.9,1293800.0,567060.0
LEU-COMP-THERM-010-002,1.00514,0.00010,1.00514,0.000103811,1,0.0021,1.00514,0.002113,Lattice,90.08,6.11,3.81,9.92,108880.0,0.1178
HEU-MET-FAST-005-005,0.99915,0.00010,0.999153,9.72283e-05,0.998,0.0036,1.00115,0.003612,Lattice,0.61,18.70,80.69,99.39,1078300.0,298510.0
HEU-MET-MIXED-017,0.99550,0.00012,0.995495,0.000116558,1,0.0008,0.9955,0.000804,Cylinder,31.91,39.40,28.70,68.09,487280.0,176.35
U233-SOL-INTER-001-028,0.98376,0.00016,0.983764,0.000158203,1,0.0061,0.98376,0.006003,Sphere,41.88,53.30,4.83,58.12,79351.0,2.5714
HEU-SOL-THERM-042-002,0.99637,0.00006,0.996365,6.44632e-05,0.9965,0.0036,0.99986,0.003612,Cylinder,98.17,1.69,0.13,1.83,2386.9,0.031427000000000004
HEU-MET-FAST-084-002,0.99933,0.00009,0.999326,8.88002e-05,0.9994,0.0021,0.99992,0.002102,Cylinder,0.00,5.84,94.16,100.0,1389900.0,766510.0
