File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
pu-sol-therm-010-009,1.01489,0.00012,94.88,4.52,0.60,5.12,11344.0,0.079836
pu-sol-therm-032-003,1.00251,0.00012,95.29,4.17,0.54,4.71,10446.0,0.07465899999999999
pu-sol-therm-003-001,1.00150,0.00081,96.89,2.78,0.33,3.11,6283.0,0.057292
pu-sol-therm-028-001,1.00832,0.00013,93.08,6.10,0.82,6.92,15424.0,0.10371
pu-sol-therm-010-011,1.00983,0.00012,95.87,3.66,0.47,4.13,8961.5,0.06854
pu-sol-therm-032-004,1.00247,0.00012,95.71,3.80,0.49,4.29,9421.8,0.069842
pu-sol-therm-002-003,1.00409,0.00085,95.19,4.25,0.55,4.81,10544.0,0.076549
pu-sol-therm-022-007,1.00430,0.00011,96.67,2.96,0.37,3.33,7256.5,0.057604999999999996
pu-sol-therm-022-003,1.00113,0.00012,94.38,4.96,0.66,5.62,12865.0,0.082213
pu-sol-therm-011-185,1.00357,0.00012,97.18,2.51,0.31,2.82,5881.599999999999,0.054637
pu-sol-therm-007-009,0.99724,0.00013,92.33,6.73,0.95,7.67,18052.0,0.11255
pu-sol-therm-034-009,0.99747,0.00012,66.09,28.97,4.94,33.91,93020.0,1.6195
pu-sol-therm-001-004,1.00433,0.00094,90.03,8.72,1.25,9.97,23699.0,0.14786
pu-sol-therm-003-007,1.00706,0.00011,96.81,2.83,0.36,3.19,6823.2,0.058154
pu-sol-therm-010-004,1.01269,0.00013,95.39,4.09,0.53,4.61,9974.9,0.07409600000000001
pu-sol-therm-010-007,1.00286,0.00012,96.16,3.41,0.43,3.84,8157.400000000001,0.065383
pu-sol-therm-034-015,0.99723,0.00011,61.69,32.86,5.45,38.31,102770.0,2.4932000000000003
pu-sol-therm-032-005,1.00467,0.00011,96.10,3.46,0.44,3.9,8464.3,0.06550500000000001
pu-sol-therm-001-002,1.00754,0.00093,92.62,6.49,0.89,7.38,16765.0,0.10856
pu-sol-therm-010-001,1.01803,0.00013,92.68,6.43,0.89,7.32,16862.0,0.10808
pu-sol-therm-028-007,1.00836,0.00012,93.62,5.62,0.76,6.38,14542.0,0.09562000000000001
pu-sol-therm-032-013,1.00239,0.00012,95.48,4.00,0.52,4.52,10093.0,0.07226400000000001
pu-sol-therm-010-002,1.01457,0.00012,94.24,5.08,0.68,5.76,12990.0,0.087671
pu-sol-therm-032-010,1.00514,0.00010,97.25,2.45,0.30,2.75,5747.099999999999,0.053602
pu-sol-therm-011-187,0.99976,0.00012,97.33,2.38,0.29,2.67,5559.599999999999,0.053071
pu-sol-therm-034-010,0.99729,0.00011,65.15,29.80,5.05,34.85,95009.0,1.7837
pu-sol-therm-004-005,0.99987,0.00075,97.30,2.41,0.29,2.7,5517.0,0.053482
pu-sol-therm-011-163,1.01667,0.00013,96.13,3.44,0.44,3.87,8369.2,0.0659
pu-sol-therm-004-002,0.99857,0.00074,97.41,2.32,0.27,2.59,5081.0,0.052598
pu-sol-therm-032-006,1.00451,0.00011,96.49,3.11,0.39,3.51,7501.200000000001,0.061273999999999995
pu-sol-therm-011-186,1.00029,0.00012,96.84,2.81,0.34,3.16,6583.8,0.058314000000000005
